period_start,service,measure_type,data_basis,passenger_cars,other_classes,total
2005-01-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,21025680,1814521.0,22840201.0
2005-02-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,20548079,1755073.0,22303152.0
2005-03-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,23335236,2059526.0,25394762.0
2005-04-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,23348349,2046295.0,25394644.0
2005-05-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,24593070,2106054.0,26699124.0
2005-06-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,24864562,2188493.0,27053055.0
2005-07-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,24838682,2046943.0,26885625.0
2005-08-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,24782926,2222323.0,27005249.0
2005-09-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,23224705,2142607.0,25367312.0
2005-10-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,22985797,2046144.0,25031941.0
2005-11-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,22916841,2043308.0,24960149.0
2005-12-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,23041995,1955444.0,24997439.0
2006-01-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,21683972,1928300.0,23612272.0
2006-02-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,19642731,1776218.0,21418949.0
2006-03-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,23456666,2163735.0,25620401.0
2006-04-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,23172694,2003880.0,25176574.0
2006-05-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,24410433,2227451.0,26637884.0
2006-06-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,24271587,2234275.0,26505862.0
2006-07-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,24410204,2091394.0,26501598.0
2006-08-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,24756934,2269028.0,27025962.0
2006-09-01,Bridges and Tunnels,vehicle_traffic_by_class,observed_bt_daily,23427410,2109217.0,25536627.0
